Name,Price,Price (Value),City,Distance,Distance (Value),Year,Category,Sub-Category
Daihatsu mira (subaru pleo),"Rs.  2,399,999",2399999, Islamabad,"129,000 km",129000,2013,Cars,Subaru
"Daihatsu/Subaru Pleo Manual 2015 model better than Alto,etcurgent sale","Rs.  1,650,000",1650000, Lahore,"108,000 km",108000,2015,Cars,Subaru
Subaru stella 660 cc car for sale,"Rs.  1,400,000",1400000, Gujranwala,"123,456 km",123456,2014,Cars,Subaru
"Subaru Stella ( Daihatsu Move ) , Model 2020","Rs.  3,290,000",3290000, Lahore,"20,000 km",20000,2020,Cars,Subaru
Automatic Subaru Domingo daba for sale in excellent condition,"Rs.  350,000",350000, Lahore,"78,563 km",78563,1988,Cars,Subaru
Subaru sambar 2006 van,"Rs.  800,000",800000, Lahore,196 km,196,2006,Cars,Subaru
Subaru Stella,"Rs.  1,550,000",1550000, Lahore,"202,618 km",202618,2007,Cars,Subaru
Subaru charade,"Rs.  160,000",160000, Wah,"15,000 km",15000,1984,Cars,Subaru
Subaru R2,"Rs.  1,450,000",1450000, Daska,"117,000 km",117000,2008,Cars,Subaru
Subaru stella RN1 Car for sale,"Rs.  1,450,000",1450000, Lahore,"195,000 km",195000,2012,Cars,Subaru
Daihatsu Mira/Subaru Pleo 2015 Model urgent sale,"Rs.  1,665,000",1665000, Lahore,"108,000 km",108000,2015,Cars,Subaru
Subaru R2,"Rs.  1,450,000",1450000, Daska,"115,000 km",115000,2009,Cars,Subaru
Subaru Stella 2013/16,"Rs.  2,045,000",2045000, Lahore,"120,000 km",120000,2016,Cars,Subaru
Subaru Pleo,"Rs.  1,695,000",1695000, Gujranwala,"121,000 km",121000,2013,Cars,Subaru
subaru yellow cap,"Rs.  300,000",300000, Karachi,"19,966 km",19966,1993,Cars,Subaru
Subaru Lucra 2017 register 660cc bumper to bumper original,"Rs.  1,940,000",1940000, Karachi,"82,000 km",82000,2014,Cars,Subaru
Subaru Justy 1993,"Rs.  250,000",250000, Karachi,"123,456 km",123456,1993,Cars,Subaru
subaru pleo 2007/12,"Rs.  1,295,000",1295000, Lahore,"12,345 km",12345,2007,Cars,Subaru
subaru urgent sale,"Rs.  330,000",330000, Gujranwala,"123,456 km",123456,1986,Cars,Subaru
Subaru Pleo CV-T 660 2007-2012 reg,"Rs.  1,270,000",1270000, Karachi,"160,000 km",160000,2007,Cars,Subaru
Mira Subaru Pleo 12/15,"Rs.  1,755,000",1755000, Islamabad,"111,000 km",111000,2012,Cars,Subaru
Subaru Stella,"Rs.  3,000,000",3000000, Karachi,"36,000 km",36000,2018,Cars,Subaru
Subaru Sambar Try 1984Model Original,"Rs.  600,000",600000, Faisalabad,"100,000 km",100000,1984,Cars,Subaru
Subaru sambar sell arjant,"Rs.  830,000",830000, Sialkot,"14,300 km",14300,2011,Cars,Subaru
Subaru pleo 660cc 1999/2007,"Rs.  820,000",820000, Karachi,"180,000 km",180000,1999,Cars,Subaru
Subaru Pleo Car For Sale In Sheikhupura Register 2013,"Rs.  1,350,000",1350000, Sheikhüpura,"162,500 km",162500,2008,Cars,Subaru
subaru justy 2020/22 ( Toyota tank),"Rs.  3,500,000",3500000, Sargodha,"47,000 km",47000,2020,Cars,Subaru
Subaru Sanber Van 660cc petrol. ماڈل 2011۔ 2013میں جاپان سے درآمد شدہ۔,"Rs.  1,250,000",1250000, Rawalpindi,"100,000 km",100000,2011,Cars,Subaru
Subaru Sambar 2006-12,"Rs.  950,000",950000, Faisalabad,"89,000 km",89000,2011,Cars,Subaru
Subaru Pleao(fresh import),"Rs.  3,050,000",3050000, Gujranwala,"39,000 km",39000,2019,Cars,Subaru
subaru justy,"Rs.  425,000",425000, Rawalpindi,123 km,123,1993,Cars,Subaru
japanese Subaru car for sale,"Rs.  1,000,000",1000000, Chiniot,"115,000 km",115000,2016,Cars,Subaru
SUBARU STELLA,"Rs.  1,550,000",1550000, Karachi,"65,000 km",65000,2011,Cars,Subaru
"Subaru Stella 660 CC , Model 2019 , Genuine Paint","Rs.  3,290,000",3290000, Lahore,"19,000 km",19000,2020,Cars,Subaru
subaru 1987 model,"Rs.  230,000",230000, Sargodha,"9,999 km",9999,1987,Cars,Subaru
Subaru Stella home use car 2013/17,"Rs.  2,050,000",2050000, Gujranwala,"100,000 km",100000,2013,Cars,Subaru
Subaru Pleo (Mira shape) 2014/17 Excellent average up to 20-22km/L,"Rs.  1,790,000",1790000, Karachi,"110,000 km",110000,2014,Cars,Subaru
Subaru is best car,"Rs.  480,000",480000, Rawalpindi,"752,711 km",752711,1986,Cars,Subaru
Subaru 96 model for sell,"Rs.  230,000",230000, Sialkot,"100,000 km",100000,1996,Cars,Subaru
