Name,Price,Price (Value),City,Full Location,Bedrooms,Area,Bathroom
1 Kanal Modern Bungalow Available for Sale in DHA PHASE 6,"Rs.  97,000,000",97000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
5 Marla house Single story brand new,"Rs.  6,300,000",6300000, Lahore,"Kahna, Lahore",2,5 Marla,3
In Airport Housing Society House Sized 6 Marla For sale,"Rs.  16,000,000",16000000, Rawalpindi,"Airport Housing Society, Rawalpindi",3,6 Marla,4
"16 Marla, Single Storey Semi Finished House","Rs.  26,500,000",26500000, Lahore,"Audit & Accounts Phase 1 - Block F, Lahore",3,16 Marla,4
10 MARLA HOUSE IN GOOD CONDITION FOR SALE IN SHAHEEN BLOCK SECTOR B BAHRIA TOWN LAHORE,"Rs.  33,000,000",33000000, Lahore,"Bahria Town - Shaheen Block, Lahore",5,10 Marla,6
Facing Park,"Rs.  22,000,000",22000000, Multan,"Buch Executive Villas, Multan",5,7 Marla,6
Single Storey 6 Marla House For sale In Al-Qayyum Garden Al-Qayyum Gar,"Rs.  6,500,000",6500000, Lahore,"Al-Qayyum Garden, Lahore",2,6 Marla,2
450 Square Feet House Available In Tajpura For sale,"Rs.  4,000,000",4000000, Lahore,"Tajpura, Lahore",1,450 SQFT,1
House Available For sale In Tajpura,"Rs.  4,500,000",4500000, Lahore,"Tajpura, Lahore",1,450 SQFT,1
Fair-Priced 562 Square Feet House Available In Tajpura,"Rs.  5,500,000",5500000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
562 Square Feet House For sale In Rs. 6000000 Only,"Rs.  6,000,000",6000000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
A Perfect House Awaits You In Tajpura Tajpura,"Rs.  6,000,000",6000000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
Single Storey 6 Marla House Available In Al-Qayyum Garden For sale,"Rs.  6,500,000",6500000, Lahore,"Al-Qayyum Garden, Lahore",2,6 Marla,2
900 Square Feet House For sale Available In Thokar Niaz Baig,"Rs.  16,500,000",16500000, Lahore,"Thokar Niaz Baig, Lahore",1,900 SQFT,1
House Is Available For sale In Tajpura,"Rs.  5,500,000",5500000, Lahore,"Tajpura, Lahore",1,900 SQFT,1
House 675 Square Feet For sale In Tajpura,"Rs.  5,500,000",5500000, Lahore,"Tajpura, Lahore",1,900 SQFT,1
A House At Affordable Price Awaits You,"Rs.  16,500,000",16500000, Lahore,"Thokar Niaz Baig, Lahore",1,900 SQFT,1
3 Marla Gray Structure for Sale in Pak Arab Housing Society,"Rs.  5,500,000",5500000, Lahore,"Pak Arab Society Phase 1 - Block C, Lahore",3,3 Marla,3
2.5 Marla brand new house for sale,"Rs.  7,500,000",7500000, Lahore,"Lahore Medical Housing Society, Lahore",3,2 Marla,3
10 Marla House In Lahore Smart City Is Best Option,"Rs.  9,760,000",9760000, Lahore,"Lahore Smart City, Lahore",4,10 Marla,4
5 Marla Brand New House For Sale in Etihad town lahore,"Rs.  27,000,000",27000000, Lahore,"Etihad Town Phase 1, Lahore",4,5 Marla,5
Get In Touch Now To Buy A House In Al Razzaq Royals,"Rs.  40,000,000",40000000, Sahiwal,"Al Razzaq Royals, Sahiwal",5,7 Marla,6
5 MARLA BEAUTIFUL PRIVATE HOUSE FOR SALE,"Rs.  18,000,000",18000000, Lahore,"Paragon City, Lahore",3,5 Marla,4
House For Grabs In 562 Square Feet Tajpura,"Rs.  6,000,000",6000000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
562 Square Feet House For sale In Tajpura Tajpura,"Rs.  6,000,000",6000000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
562 Square Feet House Is Available In Tajpura,"Rs.  5,500,000",5500000, Lahore,"Tajpura, Lahore",1,562 SQFT,1
450 Square Feet Spacious House Is Available In Tajpura For sale,"Rs.  4,500,000",4500000, Lahore,"Tajpura, Lahore",1,450 SQFT,1
Best Options For House Is Available For sale In Tajpura,"Rs.  4,000,000",4000000, Lahore,"Tajpura, Lahore",1,450 SQFT,1
A Spacious 10 Marla House In Military Accounts Housing Society,"Rs.  25,000,000",25000000, Lahore,"Military Accounts Housing Society, Lahore",5,10 Marla,5
5 Marla House Is Available For sale,"Rs.  18,000,000",18000000, Lahore,"Eden Residencia, Lahore",5,5 Marla,5
Get In Touch Now To Buy A House In High Court Society - Phase 2,"Rs.  8,800,000",8800000, Lahore,"High Court Society - Phase 2, Lahore",3,3 Marla,3
34 Marla Spring Meadow House In Bahria Town Lahore Sector B For Sale,"Rs.  105,000,000",105000000, Lahore,"Bahria Town - Sector B, Lahore",4,34 Marla,5
Available 1 Kanal Brand New Bungalow For Sale In DHA Phase 6 Prime Loc,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 6 - Block D, Lahore",5,"5,550 SQFT",6
5 MARLA BRAND NEW MODREN DESIGN HOUSE AVAILABLE FOR SALE IN DHA PHASE 6 IN REASONABLE PRICE,"Rs.  24,200,000",24200000, Lahore,"DHA Phase 6, Lahore",3,5 Marla,4
Prime Location 1 Kanal House For sale In Lake City - Sector M-2 Lahore,"Rs.  90,000,000",90000000, Lahore,"Lake City - Sector M-2, Lahore",5,1 Kanal,6
5 Marla Beautifully Designed House For Sale At Park View City Lahore,"Rs.  15,000,000",15000000, Lahore,"Park View Villas, Lahore",4,5 Marla,4
sale A House In Rawalpindi Prime Location,"Rs.  57,000,000",57000000, Rawalpindi,"Bahria Town Phase 6, Rawalpindi",5,10 Marla,5
Get In Touch Now To Buy A 5 Marla House In Eden Boulevard Housing Scheme Lahore,"Rs.  23,500,000",23500000, Lahore,"Eden Boulevard Housing Scheme, Lahore",6,5 Marla,6
Centrally Located House Available In PGECHS Phase 2 For sale,"Rs.  8,200,000",8200000, Lahore,"PGECHS Phase 2, Lahore",3,2 Marla,3
Buying A House In Military Accounts Housing Society?,"Rs.  14,500,000",14500000, Lahore,"Military Accounts Housing Society, Lahore",3,4 Marla,3
